005-info-raw-a,006-info-highpass-a,007-info-hann-a,010-carrier-raw-a,020-carrier-highpass-a,030-carrier-hann-a,042-info-fft-real-a,043-info-fft-imag-a,045-carrier-fft-real-a,047-carrier-fft-imag-a,048-info-fft-real-sq-a,048.5-info-fft-imag-sq-a,049-carrier-fft-real-sq-a,049.5-carrier-fft-imag-sq-a,050-carrier-rfft-added-a,055-info-rfft-added-a,060-carrier-rsqrt-a,070-info-sqrt-a,080-amp-factor-roots-multiplied-a,100-carrier-fft-real-x-reduced-amp-factors-a,150-carrier-fft-imag-x-reduced-amp-factors-a,005-info-raw-b,006-info-highpass-b,007-info-hann-b,010-carrier-raw-b,020-carrier-highpass-b,030-carrier-hann-b,042-info-fft-real-b,043-info-fft-imag-b,045-carrier-fft-real-b,047-carrier-fft-imag-b,048-info-fft-real-sq-b,048.5-info-fft-imag-sq-b,049-carrier-fft-real-sq-b,049.5-carrier-fft-imag-sq-b,050-carrier-rfft-added-b,055-info-rfft-added-b,060-carrier-rsqrt-b,070-info-sqrt-b,080-amp-factor-roots-multiplied-b,090-amp-factor-roots-reduced,100-carrier-fft-real-x-reduced-amp-factors-b,150-carrier-fft-imag-x-reduced-amp-factors-b
-0.084105,-0.019745,-0.000000,-0.025011,0.013022,0.000000,-7.266380,0.000000,10.799212,0.000000,52.800282,0.000000,116.622971,0.000000,116.622971,52.800282,0.092599,7.266380,0.672862,0.004723,0.000000,-0.044952,-0.041248,-0.000000,0.022644,0.011850,0.000000,0.859204,0.000000,6.842985,0.000000,0.738232,0.000000,46.826447,0.000000,46.826447,0.738232,0.146135,0.859204,0.125560,0.000437,0.003822,0.000000
-0.120810,-0.022907,-0.000000,-0.022474,-0.002630,-0.000000,5.189629,2.323557,-12.100708,13.139832,26.932245,5.398916,146.427139,172.655167,319.082306,32.331161,0.055982,5.686049,0.318317,-0.002504,0.002719,-0.037018,-0.033275,-0.000000,0.020630,0.009820,0.000000,0.290352,-0.583181,-9.788769,14.929166,0.084304,0.340100,95.819992,222.879990,318.699982,0.424405,0.056016,0.651464,0.036492,0.000207,0.002273,0.005287
-0.137740,-0.022366,-0.000001,-0.019527,-0.009428,-0.000000,-2.024314,-12.094250,4.273324,-3.207702,4.097846,146.270874,18.261297,10.289354,28.550652,150.368713,0.187151,12.262489,2.294936,0.006375,-0.004785,-0.019257,-0.015487,-0.000001,0.029633,0.018803,0.000001,-1.963565,-9.090941,8.892565,-5.670553,3.855589,82.645218,79.077705,32.155174,111.232880,86.500809,0.094816,9.300581,0.881848,0.001492,0.045327,0.018431
-0.153444,-0.025594,-0.000002,-0.023921,-0.005329,-0.000001,0.197058,12.932560,5.390928,-6.679476,0.038832,167.251114,29.062103,44.615398,73.677505,167.289948,0.116502,12.934061,1.506841,0.005280,-0.006542,-0.012634,-0.008851,-0.000001,0.025482,0.014631,0.000001,0.726852,13.229128,-4.825854,-6.650388,0.528314,175.009827,23.288870,44.227657,67.516525,175.538147,0.121701,13.249081,1.612429,0.000979,0.024409,0.046354
-0.169582,-0.032491,-0.000005,-0.030070,-0.000514,-0.000000,-9.450690,-4.952119,-3.221410,4.482740,89.315544,24.523485,10.377481,20.094957,30.472439,113.839027,0.181153,10.669538,1.932823,-0.004047,0.005632,-0.017456,-0.013659,-0.000002,0.012543,0.001678,0.000000,-4.811292,-5.522080,2.959979,5.494047,23.148527,30.493372,8.761474,30.184555,38.946030,53.641899,0.160239,7.324063,1.173601,0.001256,0.006684,0.023026
-0.167947,-0.033051,-0.000008,-0.033795,-0.003644,-0.000001,20.691675,3.456621,1.785336,-2.969130,428.145416,11.948227,3.187423,8.815733,12.003157,440.093628,0.288637,20.978409,6.055149,0.007027,-0.011686,-0.014832,-0.011021,-0.000003,0.019531,0.008657,0.000002,18.296749,4.130280,-0.322783,-0.714004,334.771027,17.059210,0.104189,0.509802,0.613991,351.830231,1.276201,18.757137,23.937878,0.003936,0.001621,0.007932
-0.140093,-0.024254,-0.000008,-0.041094,-0.013097,-0.000004,-11.175610,-2.162428,-2.824673,3.251672,124.894249,4.676095,7.978778,10.573371,18.552149,129.570343,0.232168,11.382895,2.642747,-0.004852,0.005586,-0.002014,0.001803,0.000001,0.037567,0.026670,0.000009,-16.613892,-3.912416,-1.098196,-2.878466,276.021393,15.306999,1.206035,8.285567,9.491602,291.328400,0.324586,17.068344,5.540151,0.001718,0.004343,0.029837
-0.101345,-0.017510,-0.000008,-0.051236,-0.018793,-0.000009,0.018064,-2.436996,0.741775,-1.645855,0.000326,5.938950,0.550231,2.708840,3.259070,5.939276,0.553928,2.437063,1.349957,0.000651,-0.001444,0.009155,0.012967,0.000006,0.031067,0.020141,0.000009,2.767695,-0.623294,-0.178045,2.742349,7.660135,0.388495,0.031700,7.520476,7.552176,8.048631,0.363885,2.837011,1.032345,0.000877,0.000021,0.005046
-0.073809,-0.017754,-0.000011,-0.054379,-0.017026,-0.000010,-0.267830,3.225060,-0.986557,-1.353186,0.071733,10.401015,0.973294,1.831111,2.804405,10.472748,0.597145,3.236162,1.932457,-0.001239,-0.001700,0.016785,0.020581,0.000012,0.006287,-0.004652,-0.000003,0.682771,2.078327,2.189211,-0.309772,0.466177,4.319444,4.792646,0.095959,4.888605,4.785620,0.452280,2.187606,0.989411,0.001256,0.003082,0.000062
-0.062469,-0.018603,-0.000014,-0.049784,-0.017505,-0.000014,-0.023671,-2.632584,3.230345,4.374180,0.000560,6.930498,10.435127,19.133453,29.568581,6.931058,0.183901,2.632690,0.484155,0.001017,0.001377,0.026367,0.030139,0.000023,0.000183,-0.010753,-0.000008,0.121414,-1.049495,0.408663,1.649295,0.014741,1.101440,0.167006,2.720173,2.887178,1.116182,0.588523,1.056495,0.621771,0.000315,0.000067,0.001099
